timestamp,message
2026-05-10T11:17:11.522,Cannot send SOL1:ON — not connected
2026-05-10T11:17:11.527,SOL 1 reverted (no ack)
2026-05-10T11:17:13.476,Cannot send SOL1:ON — not connected
2026-05-10T11:17:13.476,SOL 1 reverted (no ack)
2026-05-10T11:17:15.349,Cannot send SRV1:1500 — not connected
2026-05-10T11:17:15.365,Servo 1 reverted (no ack)
2026-05-10T11:17:15.365,Cannot send SRV2:1500 — not connected
2026-05-10T11:17:15.381,Servo 2 reverted (no ack)
2026-05-10T11:17:15.381,Cannot send SRV3:1500 — not connected
2026-05-10T11:17:15.397,Servo 3 reverted (no ack)
2026-05-10T11:17:15.397,Cannot send SRV4:1500 — not connected
2026-05-10T11:17:15.448,Servo 4 reverted (no ack)
2026-05-10T11:17:15.777,Cannot send SRV1:2500 — not connected
2026-05-10T11:17:15.777,Servo 1 reverted (no ack)
2026-05-10T11:17:15.792,Cannot send SRV2:2500 — not connected
2026-05-10T11:17:15.792,Servo 2 reverted (no ack)
2026-05-10T11:17:15.808,Cannot send SRV3:2500 — not connected
2026-05-10T11:17:15.808,Servo 3 reverted (no ack)
2026-05-10T11:17:15.808,Cannot send SRV4:2500 — not connected
2026-05-10T11:17:15.808,Servo 4 reverted (no ack)
2026-05-10T11:17:16.884,Cannot send SRV1:500 — not connected
2026-05-10T11:17:16.896,Servo 1 reverted (no ack)
2026-05-10T11:17:16.900,Cannot send SRV2:500 — not connected
2026-05-10T11:17:16.900,Servo 2 reverted (no ack)
2026-05-10T11:17:16.915,Cannot send SRV3:500 — not connected
2026-05-10T11:17:16.915,Servo 3 reverted (no ack)
2026-05-10T11:17:16.915,Cannot send SRV4:500 — not connected
2026-05-10T11:17:16.931,Servo 4 reverted (no ack)
2026-05-10T11:17:18.308,No port selected
2026-05-10T11:17:19.624,No port selected
2026-05-10T11:17:19.800,No port selected
2026-05-10T11:17:20.022,No port selected
2026-05-10T11:17:20.163,No port selected
